16 26 35 
22 32 41 
28 38 47 
34 43 52 
40 49 57 
46 54 62 
51 59 67 
56 64 72 
61 69 76 
66 73 80 
71 78 83 
75 81 87 
79 85 90 
83 88 92 
86 91 94 
89 93 96 
92 95 98 
94 97 99 
96 98 99 
97 99 100 
99 100 100 
99 100 99 
100 99 98 
100 99 97 
99 98 95 
98 96 93 
97 94 91 
96 92 88 
94 90 85 
91 87 81 
89 84 78 
86 80 74 
82 76 69 
78 72 65 
74 67 60 
70 63 55 
65 58 49 
61 52 44 
55 47 38 
50 41 32 
45 35 26 
39 30 20 
33 24 14 
27 17 7 
21 11 1 
15 5 -5 
9 -1 -11 
2 -8 -18 
-4 -14 -24 
-20 -40 -59 
-32 -52 -71 
-45 -64 -83 
-57 -76 -94 
-69 -87 -105 
-80 -98 -115 
-92 -109 -125 
-103 -119 -135 
-113 -129 -144 
-123 -139 -152 
-133 -147 -160 
-142 -156 -167 
-151 -163 -174 
-159 -170 -180 
-166 -176 -185 
-173 -182 -189 
-179 -187 -193 
-184 -191 -196 
-189 -194 -198 
-192 -197 -199 
-195 -199 -200 
-198 -200 -200 
-199 -200 -199 
-200 -199 -197 
-200 -198 -194 
-199 -196 -191 
-197 -193 -187 
-195 -189 -182 
-192 -185 -177 
-188 -180 -170 
-183 -174 -163 
-178 -168 -156 
-172 -160 -148 
-165 -153 -139 
-157 -144 -130 
-149 -135 -120 
-141 -126 -110 
-131 -116 -99 
-122 -105 -88 
-111 -94 -76 
-101 -83 -64 
-90 -71 -52 
-78 -60 -40 
-67 -48 -28 
-55 -35 -15 
-43 -23 -3 
-30 -10 10 
-18 2 22 
-5 15 35 
7 27 47 
20 40 59 
32 52 71 
45 64 83 
57 76 94 
69 87 105 
80 98 115 
92 109 125 
103 119 135 
113 129 144 
123 139 152 
133 147 160 
142 156 167 
151 163 174 
159 170 180 
166 176 185 
173 182 189 
179 187 193 
184 191 196 
189 194 198 
192 197 199 
195 199 200 
198 200 200 
199 200 199 
200 199 197 
200 198 194 
199 196 191 
197 193 187 
195 189 182 
192 185 177 
188 180 170 
183 174 163 
178 168 156 
172 160 148 
165 153 139 
157 144 130 
149 135 120 
141 126 110 
131 116 99 
122 105 88 
111 94 76 
101 83 64 
90 71 52 
78 60 40 
67 48 28 
55 35 15 
43 23 3 
30 10 -10 
18 -2 -22 
5 -15 -35 
-7 -27 -47 
-20 -40 -59 
-32 -52 -71 
-45 -64 -83 
-57 -76 -94 
-69 -87 -105 
-80 -98 -115 
-92 -109 -125 
-103 -119 -135 
-113 -129 -144 
-123 -139 -152 
-133 -147 -160 
-142 -156 -167 
-151 -163 -174 
-159 -170 -180 
-166 -176 -185 
-173 -182 -189 
-179 -187 -193 
-184 -191 -196 
-189 -194 -198 
-192 -197 -199 
-195 -199 -200 
-198 -200 -200 
-199 -200 -199 
-200 -199 -197 
-200 -198 -194 
-199 -196 -191 
-197 -193 -187 
-195 -189 -182 
-192 -185 -177 
-188 -180 -170 
-183 -174 -163 
-178 -168 -156 
-172 -160 -148 
-165 -153 -139 
-157 -144 -130 
-149 -135 -120 
-141 -126 -110 
-131 -116 -99 
-122 -105 -88 
-111 -94 -76 
-101 -83 -64 
-90 -71 -52 
-78 -60 -40 
-67 -48 -28 
-55 -35 -15 
-43 -23 -3 
-30 -10 10 
-18 2 22 
-5 15 35 
7 27 47 
20 40 59 
32 52 71 
45 64 83 
57 76 94 
69 87 105 
80 98 115 
92 109 125 
103 119 135 
113 129 144 
123 139 152 
133 147 160 
142 156 167 
151 163 174 
159 170 180 
166 176 185 
173 182 189 
179 187 193 
184 191 196 
189 194 198 
192 197 199 
195 199 200 
198 200 200 
199 200 199 
200 199 197 
200 198 194 
199 196 191 
197 193 187 
195 189 182 
192 185 177 
188 180 170 
183 174 163 
178 168 156 
172 160 148 
165 153 139 
157 144 130 
149 135 120 
141 126 110 
131 116 99 
122 105 88 
111 94 76 
101 83 64 
90 71 52 
78 60 40 
67 48 28 
55 35 15 
43 23 3 
30 10 -10 
18 -2 -22 
5 -15 -35 
-7 -27 -47 
-20 -40 -59 
-32 -52 -71 
-45 -64 -83 
-57 -76 -94 
-69 -87 -105 
-80 -98 -115 
-92 -109 -125 
-103 -119 -135 
-113 -129 -144 
-123 -139 -152 
-133 -147 -160 
-142 -156 -167 
-151 -163 -174 
-159 -170 -180 
-166 -176 -185 
-173 -182 -189 
-179 -187 -193 
-184 -191 -196 
-189 -194 -198 
-192 -197 -199 
-195 -199 -200 
-198 -200 -200 
-199 -200 -199 
-200 -199 -197 
-200 -198 -194 
-199 -196 -191 
-197 -193 -187 
-195 -189 -182 
-192 -185 -177 
-188 -180 -170 
-183 -174 -163 
-178 -168 -156 
-172 -160 -148 
-165 -153 -139 
-157 -144 -130 
-149 -135 -120 
-141 -126 -110 
-131 -116 -99 
-122 -105 -88 
-111 -94 -76 
-101 -83 -64 
-90 -71 -52 
-78 -60 -40 
-67 -48 -28 
-55 -35 -15 
-43 -23 -3 
-30 -10 10 
-18 2 22 
-5 15 35 
7 27 47 
20 40 59 
32 52 71 
45 64 83 
57 76 94 
69 87 105 
80 98 115 
92 109 125 
103 119 135 
113 129 144 
123 139 152 
133 147 160 
142 156 167 
151 163 174 
159 170 180 
166 176 185 
173 182 189 
179 187 193 
184 191 196 
189 194 198 
192 197 199 
195 199 200 
198 200 200 
199 200 199 
200 199 197 
200 198 194 
199 196 191 
197 193 187 
195 189 182 
192 185 177 
188 180 170 
183 174 163 
178 168 156 
172 160 148 
165 153 139 
157 144 130 
149 135 120 
141 126 110 
131 116 99 
122 105 88 
111 94 76 
101 83 64 
90 71 52 
78 60 40 
67 48 28 
55 35 15 
43 23 3 
30 10 -10 
18 -2 -22 
5 -15 -35 
-7 -27 -47 
-20 -40 -59 
-32 -52 -71 
-45 -64 -83 
-57 -76 -94 
-69 -87 -105 
-80 -98 -115 
-92 -109 -125 
-103 -119 -135 
-113 -129 -144 
-123 -139 -152 
-133 -147 -160 
-142 -156 -167 
-151 -163 -174 
-159 -170 -180 
-166 -176 -185 
-173 -182 -189 
-179 -187 -193 
-184 -191 -196 
-189 -194 -198 
-192 -197 -199 
-195 -199 -200 
-198 -200 -200 
-199 -200 -199 
-200 -199 -197 
-200 -198 -194 
-199 -196 -191 
-197 -193 -187 
-195 -189 -182 
-192 -185 -177 
-188 -180 -170 
-183 -174 -163 
-178 -168 -156 
-172 -160 -148 
-165 -153 -139 
-157 -144 -130 
-149 -135 -120 
-141 -126 -110 
-131 -116 -99 
-122 -105 -88 
-111 -94 -76 
-101 -83 -64 
-90 -71 -52 
-78 -60 -40 
-67 -48 -28 
-55 -35 -15 
-43 -23 -3 
-30 -10 10 
-18 2 22 
-5 15 35 
7 27 47 
20 40 59 
32 52 71 
45 64 83 
57 76 94 
69 87 105 
80 98 115 
92 109 125 
103 119 135 
113 129 144 
123 139 152 
133 147 160 
142 156 167 
151 163 174 
159 170 180 
166 176 185 
173 182 189 
179 187 193 
184 191 196 
189 194 198 
192 197 199 
195 199 200 
198 200 200 
199 200 199 
200 199 197 
200 198 194 
199 196 191 
197 193 187 
195 189 182 
